En_Id,En_Sentence,De_Id,De_Sentence
1008,Good morning.,1275,Guten Morgen.
1009,How are you?,1276,Wie geht es Ihnen?
1010,"It's been great, hasn't it?",1277,"Es war großartig, nicht wahr?"
1011,I've been blown away by the whole thing.,1278,Die ganze Sache hier hat mich umgehauen.
1012,"In fact, I'm leaving.",1279,Also ich gehe jetzt.
1013,There have been three themes running through the conference which are relevant to what I want to talk about.,1280,"Es gab drei Leitmotive, die sich durch die Konferenz zogen, die wichtig sind für das, worüber ich sprechen will."
1014,One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here.,1281,"Eines sind die überwältigenden Zeugnisse menschlicher Kreativität in allen Vorträgen, die wir gehört haben und in allen Menschen hier -- allein ihre Vielfalt und ihre Bandbreite."
1015,Just the variety of it and the range of it.,1281,"Eines sind die überwältigenden Zeugnisse menschlicher Kreativität in allen Vorträgen, die wir gehört haben und in allen Menschen hier -- allein ihre Vielfalt und ihre Bandbreite."
1016,"The second is that it's put us in a place where we have no idea what's going to happen, in terms of the future.",1282,"Zweitens befinden wir uns an einem Punkt, an dem wir keine Ahnung haben, wie es in Zukunft weitergeht."
1017,No idea how this may play out.,1283,"Keine Ahnung, wie das enden wird."
1018,I have an interest in education.,1284,Ich interessiere mich für Bildung.
1019,"Actually, what I find is everybody has an interest in education.",1285,"Im Grunde finde ich, dass sich eigentlich jeder für Bildung interessiert."
1020,Don't you?,1286,Finden Sie nicht auch?
1021,I find this very interesting.,1287,Das ist recht bemerkenswert.
1022,"If you're at a dinner party, and you say you work in education -- ",1288,"Wenn Sie auf einer Dinner-Party sind und erzählen, dass sie im Bildungswesen arbeiten -- offen gesagt, ist man nicht oft bei Dinner-Parties, wenn man im Bildungswesen arbeitet."
1023,"Actually, you're not often at dinner parties, frankly.",1288,"Wenn Sie auf einer Dinner-Party sind und erzählen, dass sie im Bildungswesen arbeiten -- offen gesagt, ist man nicht oft bei Dinner-Parties, wenn man im Bildungswesen arbeitet."
1024,"If you work in education, you're not asked.",1289,Man wird erst gar nicht eingeladen.
1025,"And you're never asked back, curiously.",1290,"Auf jeden Fall nicht zweimal, seltsamerweise."
1026,That's strange to me.,1291,Das ist merkwürdig.
1027,"But if you are, and you say to somebody, you know, they say, 'What do you do?'and you say you work in education, you can see the blood run from their face.",1292,"Sind Sie aber eingeladen und reden mit jemandem, also wenn jemand fragt: 'Was machen Sie so?'und Sie: 'Ich arbeite im Bildungswesen', sieht man, wie den anderen das Blut aus dem Gesicht weicht."
1028,"They're like, 'Oh my God,' you know, 'Why me?'",1293,"'Oh Gott, warum ich?"
1029,'My one night out all week.',1294,Mein einziger freier Abend in der Woche.'
1030,"But if you ask about their education, they pin you to the wall.",1295,"Fragen Sie sie nach ihrer Schulbildung, nageln sie Sie an die Wand."
1031,"Because it's one of those things that goes deep with people, am I right?",1296,"Denn es ist eines dieser Themen, die Leute tief berühren, wie Religion, Geld und andere Sachen."
1032,"Like religion, and money and other things.",1296,"Denn es ist eines dieser Themen, die Leute tief berühren, wie Religion, Geld und andere Sachen."
1033,"So I have a big interest in education, and I think we all do.",1297,"Ich habe ein großes Interesse an Bildung, und ich denke, das haben wir alle."
1034,"We have a huge vested interest in it, partly because it's education that's meant to take us into this future that we can't grasp.",1298,"Wir haben ein großes, persönliches Interesse, teilweise Bildung dazu gedacht ist, uns in diese Zukunft zu bringen, die wir nicht fassen können."
1035,"If you think of it, children starting school this year will be retiring in 2065.",1299,"Denken Sie nur: Kinder, die dieses Jahr in die Schule kommen, werden im Jahr 2065 in Rente gehen."
1036,"Nobody has a clue, despite all the expertise that's been on parade for the past four days, what the world will look like in five years' time.",1300,"Keiner hat eine Ahnung, trotz jeglicher Expertise, die wir die letzten vier Tage erleben durften, wie die Welt in fünf Jahren aussehen wird."
1037,And yet we're meant to be educating them for it.,1301,Und trotzdem sollen wir sie dafür ausbilden.
1038,"So the unpredictability, I think, is extraordinary.",1302,"Die Unvorhersagbarkeit ist, finde ich, atemberaubend."
1039,"And the third part of this is that we've all agreed, nonetheless, on the really extraordinary capacities that children have -- their capacities for innovation.",1303,"Und das dritte Thema ist, dass wir uns trotzdem alle einig sind, dass Kinder wirklich außergewöhnliche Fähigkeiten haben -- Fähigkeiten, neue Wege zu gehen."
1040,"I mean, Sirena last night was a marvel, wasn't she?",1304,"Sirena gestern Abend war wunderbar, nicht wahr?"
1041,Just seeing what she could do.,1305,"Allein zu sehen, wozu sie in der Lage ist."
1042,"And she's exceptional, but I think she's not, so to speak, exceptional in the whole of childhood.",1306,"Sie ist außergewöhnlich, aber ich denke, sie ist nicht, sozusagen, außergewöhnlich in Bezug auf die Gesamtheit aller Kinder."
1043,What you have there is a person of extraordinary dedication who found a talent.,1307,"Sie ist eine Person mit außerordentlicher Hingabe, die ihr Talent gefunden hat."
1044,"And my contention is, all kids have tremendous talents.",1308,"Ich behaupte, dass alle Kinder gewaltige Talente haben und dass wir sie vergeuden, und zwar ziemlich rücksichtslos."
1045,"And we squander them, pretty ruthlessly.",1308,"Ich behaupte, dass alle Kinder gewaltige Talente haben und dass wir sie vergeuden, und zwar ziemlich rücksichtslos."
1046,So I want to talk about education and I want to talk about creativity.,1309,Ich möchte also über Bildung und Kreativität sprechen.
1047,"My contention is that creativity now is as important in education as literacy, and we should treat it with the same status.",1310,"Meine Überzeugung ist, dass Kreativität heute genauso wichtig für Bildung ist, wie Lesen und Schreiben, und wir sollten sie gleichwertig behandeln."
1048,Thank you.,1311,Danke.
1049,"That was it, by the way.",1312,"Übrigens, das war's auch schon."
1050,Thank you very much.,1313,Vielen Dank.
1051,"So, 15 minutes left.",1314,"So, noch 15 Minuten Zeit."
1052,"Well, I was born...no.",1315,"Okay, ich wurde geboren am … Nein."
1053,I heard a great story recently -- I love telling it -- of a little girl who was in a drawing lesson.,1316,"Ich habe vor kurzem eine tolle Geschichte gehört -- ich erzähle sie zu gern -- über ein kleines Mädchen, die in Zeichnen saß."
1054,"She was six, and she was at the back, drawing, and the teacher said this girl hardly ever paid attention, and in this drawing lesson, she did.",1317,"Sie war 6 und malte hinten in der letzten Reihe und die Lehrerin sagte, dass dieses kleine Mädchen fast nie aufpasste, außer in der Zeichenstunde."
1055,The teacher was fascinated.,1318,"Die Lehrerin war fasziniert, ging zu ihr herüber und fragte: 'Was malst du denn da?'"
1056,"She went over to her, and she said, 'What are you drawing?'",1318,"Die Lehrerin war fasziniert, ging zu ihr herüber und fragte: 'Was malst du denn da?'"
1057,"And the girl said, 'I'm drawing a picture of God.'",1319,Und das Mädchen sagte: 'Ich zeichne ein Bild von Gott.'
1058,"And the teacher said, 'But nobody knows what God looks like.'",1320,"Und die Lehrerin sagte: 'Aber niemand weiß, wie Gott aussieht.'"
1059,"And the girl said, 'They will, in a minute.'",1321,Und das Mädchen antwortete: 'Gleich wissen sie es.'
1060,When my son was four in England --,1322,Als mein Sohn vier war in England -- er war eigentlich überall vier.
1061,"Actually, he was four everywhere, to be honest.",1322,Als mein Sohn vier war in England -- er war eigentlich überall vier.
1062,"If we're being strict about it, wherever he went, he was four that year.",1323,"Genau genommen war er das ganze Jahr vier, egal wo er hinging."
1063,He was in the Nativity play.,1324,Er spielte im Krippenspiel mit.